label,area,perimeter,eccentricity,solidity,mean_intensity,centroid_row,centroid_col,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
1,657594,107363.01711111513,0.6962561235834573,0.5742256266241932,171.1381566741789,711.2179049687193,484.1680611441102,0,0,1264,906
2,186,85.49747468305833,0.9451362772680563,0.643598615916955,148.49462365591398,19.13978494623656,65.81720430107526,8,55,32,78
3,20,16.48528137423857,0.9052880588861293,0.8695652173913043,153.15,13.25,280.5,11,278,17,284
4,25,18.65685424949238,0.9731134979955588,0.8064516129032258,147.88,18.92,700.48,17,696,22,707
5,23,22.035533905932738,0.9792080535662071,0.7666666666666667,155.8695652173913,24.130434782608695,443.9130434782609,19,442,30,446
6,204,73.25483399593904,0.8846996624241393,0.7876447876447876,165.12745098039215,31.622549019607842,74.46078431372548,20,64,41,84
7,44,25.556349186104043,0.6577366270673689,0.8627450980392157,150.45454545454547,24.522727272727273,98.88636363636364,20,95,29,104
8,24,18.27817459305202,0.974391081553212,0.6857142857142857,152.875,24.791666666666668,585.5416666666666,22,581,29,591
9,39,24.071067811865476,0.8970626363206644,0.9069767441860465,158.7948717948718,41.205128205128204,851.4102564102565,39,846,44,857
10,135,53.35533905932738,0.8736143837322374,0.8385093167701864,154.1259259259259,49.51851851851852,216.9777777777778,41,211,59,224
11,33,22.31370849898476,0.947739640290449,0.7674418604651163,152.03030303030303,46.90909090909091,663.3636363636364,43,658,51,669
12,34,20.727922061357855,0.8031878925519376,0.918918918918919,167.7941176470588,49.205882352941174,255.44117647058823,46,252,53,260
13,33,22.313708498984763,0.9785171572145146,0.7333333333333333,160.1818181818182,62.81818181818182,627.6969696969697,58,623,68,634
14,51,31.79898987322333,0.8954665748162047,0.7727272727272727,156.31372549019608,70.07843137254902,172.50980392156862,66,167,74,179
15,27,19.071067811865476,0.8188631064761824,0.8709677419354839,162.74074074074073,80.62962962962963,272.0740740740741,77,270,85,275
16,74,51.11269837220809,0.971695605243883,0.6065573770491803,144.04054054054055,88.17567567567568,201.5,83,192,94,213
17,83,36.45584412271572,0.808504070949728,0.8645833333333334,149.49397590361446,95.03614457831326,114.57831325301204,89,109,102,122
18,96,39.21320343559643,0.8027258961529906,0.8275862068965517,157.5,96.21875,820.2083333333334,90,815,104,827
19,55,30.14213562373095,0.9127610079904758,0.859375,155.78181818181818,97.0,763.7818181818182,94,758,101,772
20,45,29.31370849898476,0.9444083379408017,0.8490566037735849,168.53333333333333,107.55555555555556,738.0444444444445,105,732,111,744
21,150,77.59797974644667,0.9852663483069776,0.6493506493506493,157.17333333333335,119.74,359.5466666666667,107,348,133,375
22,52,35.83452377915607,0.9510500915360203,0.6842105263157895,140.59615384615384,118.34615384615384,157.46153846153845,112,154,127,163
23,22,15.278174593052023,0.8576532802737941,0.8148148148148148,159.22727272727272,114.13636363636364,888.1363636363636,112,885,117,893
24,210,62.76955262170047,0.7002034976106932,0.8300395256916996,146.22380952380954,121.03809523809524,302.8952380952381,113,291,130,313
25,40,33.72792206135786,0.9823859540900566,0.6666666666666666,142.275,122.775,707.875,120,700,126,716
26,39,23.727922061357855,0.6808803281613044,0.8297872340425532,146.33333333333334,129.30769230769232,219.25641025641025,126,216,135,223
27,44,23.071067811865476,0.5154457564995985,0.9361702127659575,163.6590909090909,135.54545454545453,145.4090909090909,132,142,140,149
28,119,72.66904755831213,0.9478498724502454,0.6102564102564103,143.72268907563026,142.21008403361344,280.2857142857143,133,268,154,289
29,64,45.8700576850888,0.9950631116070001,0.64,159.765625,143.71875,662.296875,135,652,153,674
30,27,17.899494936611667,0.864075033855335,0.9,137.0,144.22222222222223,308.14814814814815,141,305,148,312
31,71,33.79898987322333,0.6073488245411911,0.8765432098765432,158.67605633802816,146.25352112676057,296.7042253521127,142,292,152,304
32,205,66.42640687119285,0.8980060126123268,0.8436213991769548,159.49756097560976,155.15121951219513,309.2,148,297,162,322
33,52,25.556349186104047,0.3512966820476133,0.9285714285714286,164.23076923076923,153.69230769230768,330.4807692307692,150,326,159,335
34,91,58.73401871576773,0.9953071704771166,0.6842105263157895,162.69230769230768,163.0989010989011,459.0769230769231,153,447,174,473
35,24,22.899494936611667,0.982482038993007,0.8,152.625,156.5,741.0,154,736,160,747
36,259,121.57463914933368,0.9437869312099221,0.5418410041841004,152.5830115830116,172.67181467181467,309.86486486486484,165,290,182,329
37,43,24.970562748477143,0.6774304874441992,0.86,146.67441860465115,169.1627906976744,338.83720930232556,166,335,174,344
38,109,49.597979746446654,0.8021280580400896,0.7785714285714286,145.62385321100916,177.3302752293578,352.48623853211006,170,344,183,361
39,288,91.49747468305833,0.9456330264170845,0.782608695652174,165.85069444444446,185.07986111111111,706.4270833333334,177,690,193,725
40,34098,9660.514421272203,0.3724611214843581,0.33978734641408653,157.70150741979,388.0403542729779,403.06710070971906,178,217,561,600
41,157,53.941125496954285,0.7374379189708352,0.8870056497175142,159.63057324840764,188.9235668789809,280.687898089172,183,272,198,289
42,23,16.449747468305834,0.901889805534277,0.8846153846153846,172.43478260869566,191.3913043478261,99.65217391304348,188,98,196,102
43,82,48.2842712474619,0.9538155758398805,0.7192982456140351,161.0731707317073,193.58536585365854,389.3780487804878,190,380,198,400
44,79,45.83452377915607,0.9697380645208251,0.7523809523809524,156.0759493670886,197.0253164556962,709.2025316455696,194,699,202,721
45,92,45.45584412271572,0.9349358037703971,0.773109243697479,160.47826086956522,204.41304347826087,279.5217391304348,197,271,215,285
46,59,38.3492424049175,0.9643747331214085,0.6941176470588235,149.864406779661,202.20338983050848,779.8305084745763,198,770,206,788
47,36,22.72792206135786,0.7630122461272448,0.8372093023255814,148.97222222222223,202.05555555555554,178.38888888888889,199,175,206,184
48,23,17.692388155425117,0.8255246717425069,0.8846153846153846,168.7391304347826,205.34782608695653,227.30434782608697,203,225,210,230
49,26,18.692388155425114,0.6517252533278943,0.8125,146.0,205.96153846153845,239.07692307692307,203,236,209,243
50,139,59.94112549695428,0.9323311701235063,0.7554347826086957,167.70503597122303,214.72661870503597,293.8561151079137,203,289,226,300
51,24,17.071067811865476,0.8665482081808544,0.8888888888888888,162.875,210.20833333333334,220.95833333333334,207,219,214,224
52,27,22.071067811865476,0.9427198626779199,0.7941176470588235,163.66666666666666,230.59259259259258,337.81481481481484,225,336,236,341
53,12994,2407.2400410317878,0.7876699823464445,0.5955360007333058,156.2684315838079,308.5744959211944,720.5990457134062,236,621,395,815
54,24,19.106601717798213,0.8143884699860596,0.8275862068965517,152.91666666666666,240.375,135.91666666666666,237,134,244,139
55,35,22.485281374238568,0.8130536440519978,0.8333333333333334,164.54285714285714,240.05714285714285,236.62857142857143,237,234,245,241
56,55,32.04163056034262,0.9129291787982728,0.8461538461538461,155.4,244.5818181818182,181.36363636363637,239,176,251,187
57,45,32.17766952966369,0.9499742384371559,0.7377049180327869,149.35555555555555,245.2,655.8222222222222,241,651,251,662
58,20,16.86396103067893,0.609381386437886,0.7692307692307693,167.95,247.15,411.35,245,409,250,415
59,317,109.95331880577405,0.8891884538469526,0.6716101694915254,170.53943217665616,257.198738170347,310.50473186119876,248,294,268,328
60,68,33.79898987322333,0.514162186523922,0.8395061728395061,158.35294117647058,254.89705882352942,275.13235294117646,250,270,261,280
61,200,94.22539674441617,0.7917030568266697,0.6644518272425249,156.445,281.205,412.675,271,401,290,427
62,166,54.76955262170048,0.8745545303234502,0.9120879120879121,168.84939759036143,281.06626506024094,233.07831325301206,272,225,290,243
63,44,26.9350288425444,0.8753831860328658,0.8461538461538461,169.38636363636363,278.5681818181818,864.8636363636364,275,859,283,870
64,613,211.17871555019025,0.7636655662193849,0.6009803921568627,156.57096247960848,297.87275693311585,859.6345840130506,280,837,316,884
65,34,23.31370849898476,0.8032116920806194,0.723404255319149,153.73529411764707,285.47058823529414,312.2647058823529,282,308,290,317
66,65,34.62741699796952,0.531534642794967,0.7831325301204819,169.3846153846154,291.5230769230769,444.7076923076923,286,440,297,450
67,55,40.21320343559643,0.9732856260076386,0.6043956043956044,153.5090909090909,295.07272727272726,257.03636363636366,288,250,303,265
68,1641,338.4102089490163,0.9290551475228152,0.6082283172720534,165.92017062766607,327.6879951249238,259.89640463132235,295,231,375,296
69,64,30.97056274847714,0.8324212395783209,0.8888888888888888,182.34375,304.546875,300.078125,299,296,311,305
70,24,18.899494936611667,0.8114529453295003,0.75,154.20833333333334,304.75,613.75,301,611,309,617
71,49,31.556349186104043,0.939621274782014,0.7903225806451613,155.9795918367347,305.9183673469388,223.28571428571428,303,217,309,230
72,179,78.49747468305833,0.8046891535241125,0.667910447761194,140.31843575418995,313.8268156424581,281.3072625698324,303,274,327,292
73,28,18.692388155425117,0.6577878388260148,0.8484848484848485,146.17857142857142,319.25,224.25,317,221,324,228
74,135,49.698484809834994,0.8558002900270587,0.8544303797468354,153.23703703703703,322.34814814814814,318.23703703703706,317,309,329,327
75,121,59.59797974644667,0.9468120207442073,0.7034883720930233,162.72727272727272,326.1818181818182,190.3801652892562,318,181,336,200
76,22,17.313708498984763,0.8234588961226889,0.88,160.54545454545453,320.6363636363636,838.5,318,836,324,842
77,35,25.9350288425444,0.9125409858677834,0.7446808510638298,147.4,326.9428571428571,825.8285714285714,322,822,332,830
78,27,20.349242404917497,0.8408550984876577,0.84375,157.62962962962962,330.55555555555554,556.7037037037037,328,553,334,561
79,24,16.48528137423857,0.5979402692037029,0.8888888888888888,149.70833333333334,336.75,209.79166666666666,334,207,340,213
80,70,31.213203435596427,0.7616166677435229,0.9210526315789473,156.47142857142856,339.9428571428571,299.27142857142854,335,294,345,305
81,31,23.349242404917497,0.9143577406293915,0.7380952380952381,142.1290322580645,343.96774193548384,333.19354838709677,339,331,349,337
82,304,108.36143571373725,0.964653365173039,0.628099173553719,159.80921052631578,356.7763157894737,160.17763157894737,340,137,369,176
83,39,26.556349186104043,0.9086962985353628,0.8125,161.2051282051282,344.3333333333333,250.35897435897436,340,248,351,254
84,6273,2085.988165628679,0.8491320781240669,0.37739140897605583,159.40060577076358,407.914554439662,199.39311334289815,341,112,473,285
85,46,25.31370849898476,0.6569295188107384,0.8679245283018868,154.2608695652174,352.2173913043478,642.5869565217391,348,638,356,647
86,154,82.5685424949238,0.8976025677963013,0.5579710144927537,149.72727272727272,357.2857142857143,321.9415584415584,350,306,366,334
87,398,137.33809511662426,0.944539417863419,0.5734870317002881,151.0075376884422,371.09798994974875,760.0552763819095,355,736,385,782
88,45,26.14213562373095,0.8489766776949592,0.8333333333333334,169.75555555555556,359.8666666666667,138.04444444444445,356,134,365,143
89,133,42.62741699796952,0.5432895197659199,0.9236111111111112,170.3233082706767,363.1503759398496,298.0601503759398,356,292,371,305
90,76,45.07716446627535,0.9750307768709902,0.7755102040816326,167.06578947368422,365.5921052631579,655.9605263157895,357,649,374,664
91,55,33.59188309203678,0.8707793298496889,0.6547619047619048,165.85454545454544,367.7818181818182,181.92727272727274,363,175,372,192
92,178,64.56244584051392,0.9392500791216659,0.8054298642533937,168.47191011235955,378.561797752809,136.97191011235955,367,132,393,143
93,760,255.7056274847714,0.7497155208601586,0.4770872567482737,151.975,394.9605263157895,314.10263157894735,367,290,422,332
94,98,49.07716446627535,0.7321471397729804,0.6163522012578616,144.83673469387756,374.7959183673469,117.6938775510204,368,111,385,125
95,149,77.2193000900063,0.9603079705330742,0.6260504201680672,160.5771812080537,372.81208053691273,479.7248322147651,368,467,378,494
96,316,123.36753236814714,0.8765078345153837,0.5798165137614679,150.73417721518987,379.9493670886076,722.7658227848101,369,705,393,747
97,179,88.60407640085654,0.7984324288023642,0.6532846715328468,155.91061452513966,376.804469273743,158.16759776536313,370,147,386,172
98,29,20.935028842544405,0.91475440291351,0.7631578947368421,164.86206896551724,374.7931034482759,332.0344827586207,370,330,380,335
99,121,54.426406871192846,0.8813036120014687,0.8066666666666666,148.52892561983472,382.12396694214874,284.4710743801653,373,279,391,293
100,135,53.941125496954285,0.7155169646656517,0.8132530120481928,163.05925925925925,383.48148148148147,177.9037037037037,376,171,393,186
101,25,19.692388155425117,0.9054866399893448,0.8064516129032258,152.56,377.84,891.16,376,888,381,896
102,34,23.899494936611667,0.9049008484168043,0.7906976744186046,143.94117647058823,385.11764705882354,301.6764705882353,381,298,389,306
103,95,64.90559159102153,0.9906409701179901,0.6785714285714286,171.07368421052632,388.2105263157895,702.4736842105264,381,691,395,720
104,41,23.79898987322333,0.8592342910747891,0.9534883720930233,164.97560975609755,386.5609756097561,542.439024390244,382,539,392,547
105,128,52.11269837220809,0.8747886770583724,0.7710843373493976,149.890625,405.5078125,376.9375,396,371,418,383
106,120,78.90559159102153,0.9931787004784459,0.6741573033707865,178.66666666666666,404.775,721.6416666666667,399,703,410,741
107,23,20.556349186104047,0.88452079486268,0.7419354838709677,148.6086956521739,410.7391304347826,554.0434782608696,407,552,416,557
108,45,29.14213562373095,0.9370295959047363,0.7894736842105263,161.35555555555555,411.64444444444445,170.75555555555556,408,166,417,177
109,64,29.727922061357855,0.7929410873542398,0.9142857142857143,172.96875,422.8125,353.375,419,348,429,358
110,27,17.899494936611664,0.7930674627045576,0.9,161.92592592592592,432.25925925925924,253.4814814814815,429,251,436,257
111,83,35.384776310850235,0.7202998313338738,0.8829787234042553,161.81927710843374,442.9156626506024,410.2409638554217,436,405,449,416
112,130,50.52691193458119,0.7809734401269182,0.8552631578947368,152.26153846153846,445.5615384615385,339.84615384615387,437,334,454,347
113,25,18.48528137423857,0.9014008714155102,0.8620689655172413,156.6,448.36,188.24,445,186,453,191
114,94,46.526911934581186,0.9146658867998985,0.7966101694915254,161.85106382978722,453.59574468085106,264.02127659574467,446,259,462,272
115,45,26.384776310850235,0.8323321911162906,0.9,147.48888888888888,450.0888888888889,555.3777777777777,447,551,454,561
116,35,22.72792206135786,0.7750941481370968,0.9210526315789473,165.17142857142858,455.48571428571427,242.0,453,238,461,246
117,49,28.384776310850235,0.8189122744849926,0.8596491228070176,159.51020408163265,459.2857142857143,637.7142857142857,456,633,464,643
118,22,15.071067811865476,0.6001379922239904,0.9166666666666666,158.4090909090909,464.40909090909093,605.7272727272727,462,604,468,609
119,44,28.17766952966369,0.5946393906520632,0.7857142857142857,148.54545454545453,467.75,209.54545454545453,463,205,473,214
120,7968,1927.0642840744276,0.940377933477627,0.4245071923281833,161.76982931726909,524.3411144578313,191.86583835341366,464,75,569,342
121,33,23.14213562373095,0.8033787806291107,0.8048780487804879,142.78787878787878,467.6666666666667,197.15151515151516,464,193,472,201
122,40,27.727922061357855,0.9161560991067597,0.7017543859649122,144.025,466.925,342.775,464,338,471,350
123,227,81.49747468305833,0.5712947547145195,0.6984615384615385,159.1497797356828,476.8898678414097,507.3436123348018,468,495,488,519
124,37,27.106601717798213,0.9471340056893482,0.8043478260869565,161.27027027027026,476.0,530.0,474,524,479,537
125,69,40.384776310850235,0.9512036454881151,0.7582417582417582,147.28985507246378,479.40579710144925,340.7826086956522,476,333,483,350
126,35,21.071067811865476,0.6331215799377318,0.8974358974358975,167.25714285714287,487.6,170.77142857142857,485,167,491,175
127,37,21.071067811865476,0.6655114854844796,0.925,174.97297297297297,492.5405405405405,628.5945945945946,490,625,496,633
128,26,17.899494936611667,0.8314790914752226,0.896551724137931,171.34615384615384,494.2307692307692,244.84615384615384,492,242,498,249
129,28,24.935028842544405,0.9580997484119103,0.7,150.53571428571428,499.57142857142856,591.8214285714286,495,588,504,598
130,21,17.692388155425117,0.8734543074595854,0.9130434782608695,140.0952380952381,499.57142857142856,576.7619047619048,498,573,503,580
131,22,15.48528137423857,0.7926697820754312,0.9166666666666666,140.86363636363637,501.8636363636364,202.36363636363637,500,199,505,206
132,64,32.04163056034261,0.9077086144337284,0.9014084507042254,157.828125,510.4375,294.015625,505,289,517,300
133,22,16.82842712474619,0.8968479826838119,0.9166666666666666,165.8181818181818,507.77272727272725,224.0909090909091,506,221,510,228
134,30,21.692388155425114,0.9107948381516585,0.8108108108108109,157.33333333333334,525.2333333333333,333.3666666666667,521,329,529,337
135,34,20.727922061357855,0.6827425617781588,0.918918918918919,167.76470588235293,527.2941176470588,381.11764705882354,524,377,531,385
136,83,35.55634918610404,0.4443379559866846,0.8645833333333334,174.81927710843374,530.8674698795181,343.8072289156627,526,339,537,350
137,424,163.1370849898476,0.9248760141054506,0.629080118694362,152.46462264150944,544.4952830188679,372.17452830188677,527,355,566,388
138,26,17.899494936611667,0.7245805419269228,0.9285714285714286,164.6153846153846,531.8846153846154,404.1923076923077,529,401,536,407
139,76,48.90559159102154,0.9323634570049737,0.5801526717557252,159.30263157894737,537.7894736842105,141.92105263157896,530,137,550,147
140,55,31.798989873223327,0.8704637581654356,0.7857142857142857,165.27272727272728,542.3272727272728,151.8,536,148,549,156
141,63,38.87005768508881,0.8600235337397442,0.65625,143.61904761904762,543.8095238095239,395.41269841269843,538,390,549,403
142,55,27.556349186104043,0.6771465549359637,0.9016393442622951,180.6727272727273,543.4363636363636,77.4,540,73,548,83
143,2496,729.1463197058371,0.4541940550293301,0.44627212587162524,161.03285256410257,596.4423076923077,146.41346153846155,545,106,646,183
144,40,23.692388155425117,0.6741590264075968,0.8695652173913043,169.325,551.875,84.225,548,80,555,89
145,117,60.76955262170047,0.9484175582278644,0.6536312849162011,147.2051282051282,556.5128205128206,659.2051282051282,548,649,566,669
146,3016,857.8864350760148,0.9336096685453225,0.3046772401252652,160.78912466843502,614.8647214854111,78.03978779840848,552,23,714,118
147,238,88.5685424949238,0.8871052205544406,0.6780626780626781,152.7689075630252,562.1722689075631,143.89495798319328,552,133,575,156
148,275,108.98885271170678,0.8103618274500666,0.6485849056603774,154.2290909090909,565.3890909090909,197.49818181818182,553,187,583,213
149,1108,487.819371877506,0.9491192257826588,0.3202312138728324,152.6263537906137,584.8321299638989,226.67418772563178,556,175,613,275
150,79,54.52691193458119,0.860362683449606,0.49375,144.60759493670886,563.1139240506329,270.49367088607596,556,262,574,278
151,75,36.2842712474619,0.9059482844822364,0.872093023255814,182.30666666666667,565.7333333333333,396.4266666666667,559,391,573,403
152,30,19.31370849898476,0.7749363890359356,0.9090909090909091,166.66666666666666,566.4333333333333,282.76666666666665,564,279,570,287
153,161,78.97665940288701,0.9748208535812136,0.6121673003802282,163.62111801242236,586.639751552795,304.4472049689441,567,300,603,311
154,45,28.970562748477143,0.9082809673808581,0.75,158.15555555555557,574.7333333333333,658.6444444444444,569,656,581,662
155,75,34.520815280171306,0.8604681847564605,0.8620689655172413,170.0,575.3733333333333,216.98666666666668,572,211,580,225
156,91,45.698484809834994,0.934525462194194,0.7844827586206896,163.1978021978022,580.3186813186813,294.8131868131868,573,289,590,301
157,41,22.485281374238568,0.6219801529522333,0.9318181818181818,171.09756097560975,587.9024390243902,496.0243902439024,585,493,593,500
158,59,34.04163056034262,0.7493522116698901,0.7564102564102564,135.22033898305085,598.1694915254237,94.11864406779661,594,90,604,101
159,182,59.840620433565945,0.8513008448434416,0.8878048780487805,161.82417582417582,601.2912087912088,284.967032967033,594,274,612,294
160,127,48.526911934581186,0.7505465929151379,0.8246753246753247,164.51968503937007,603.9763779527559,108.96062992125984,597,103,612,116
161,118,49.35533905932738,0.9303328156236137,0.8740740740740741,165.08474576271186,607.9491525423729,303.20338983050846,600,296,616,313
162,588,144.5452018978108,0.8679163315065787,0.6758620689655173,144.81462585034015,619.0238095238095,232.01190476190476,602,218,640,249
163,86,44.04163056034261,0.957071513866423,0.7543859649122807,142.80232558139534,613.7093023255813,183.72093023255815,604,180,624,188
164,25,16.485281374238568,0.5511834787943866,0.9259259259259259,159.84,609.76,91.6,607,89,613,95
165,55,28.970562748477143,0.8421150378926016,0.9016393442622951,172.34545454545454,611.709090909091,203.3272727272727,607,200,618,208
166,37,28.17766952966369,0.5645470107255832,0.6727272727272727,145.13513513513513,614.1891891891892,141.0810810810811,610,136,620,145
167,26,19.071067811865476,0.9038637332984074,0.896551724137931,157.19230769230768,617.4615384615385,680.9615384615385,613,679,621,685
168,34,24.384776310850235,0.7595797345373514,0.7906976744186046,156.94117647058823,623.6176470588235,305.38235294117646,621,301,628,310
169,319,133.53910524340094,0.8576840955548358,0.589648798521257,164.2664576802508,636.4608150470219,189.27272727272728,624,175,649,205
170,135,49.90559159102155,0.5798742796568498,0.7758620689655172,165.11851851851853,646.8962962962963,121.80740740740741,639,116,657,131
171,26,24.071067811865476,0.9850988625240474,0.7027027027027027,148.92307692307693,645.7692307692307,328.4230769230769,640,325,652,333
172,29,20.31370849898476,0.8624762413512735,0.8285714285714286,136.6206896551724,646.2068965517242,66.17241379310344,643,63,651,70
173,43,32.55634918610404,0.9832586918368278,0.7818181818181819,160.1627906976744,657.5348837209302,322.3720930232558,651,319,666,327
174,36,22.520815280171306,0.7465728772583964,0.7659574468085106,164.52777777777777,656.9166666666666,106.0,654,101,662,110
175,33,25.14213562373095,0.9414824024775865,0.7674418604651163,138.3939393939394,658.6060606060606,175.93939393939394,654,173,664,181
176,40,29.79898987322333,0.9832250171923236,0.851063829787234,163.075,661.4,516.975,656,512,668,524
177,66,35.798989873223334,0.9008098083828984,0.7764705882352941,154.37878787878788,665.6969696969697,116.46969696969697,659,113,674,121
178,20,19.207106781186546,0.9849729799114786,0.6896551724137931,147.65,665.1,338.25,659,337,671,342
179,32,20.72792206135786,0.7747639256990254,0.8205128205128205,154.625,663.03125,751.9375,660,748,667,757
180,26,19.899494936611667,0.8676916410427309,0.7878787878787878,144.1153846153846,664.5,165.80769230769232,663,162,668,170
181,90,36.384776310850235,0.6537892695982596,0.8823529411764706,169.1888888888889,674.9555555555555,160.38888888888889,669,155,682,166
182,24,18.727922061357855,0.9514165174809477,0.8888888888888888,159.25,679.7916666666666,333.5416666666667,676,331,685,337
183,24,17.071067811865476,0.8284159061147276,0.8571428571428571,153.95833333333334,680.2916666666666,117.29166666666667,677,115,684,120
184,68,31.79898987322333,0.7654937158340842,0.918918918918919,170.9264705882353,681.9705882352941,106.86764705882354,678,101,686,114
185,513,225.3563850798539,0.9970440908356722,0.6543367346938775,153.49512670565304,720.598440545809,343.62768031189086,685,320,765,371
186,37,27.349242404917497,0.9829009112817297,0.8222222222222222,170.48648648648648,693.7027027027027,342.7027027027027,688,339,702,347
187,31,19.31370849898476,0.3661573282256742,0.8857142857142857,161.5483870967742,704.1290322580645,853.0967741935484,701,850,708,857
188,56,35.21320343559643,0.9662692260302973,0.8484848484848485,170.42857142857142,707.8392857142857,132.30357142857142,703,127,714,140
189,27,21.242640687119284,0.9058966612916922,0.75,176.62962962962962,707.6296296296297,360.037037037037,703,358,713,364
190,36,23.14213562373095,0.8304795225954678,0.8780487804878049,156.80555555555554,709.8333333333334,29.11111111111111,707,25,713,35
191,24,14.863961030678926,0.7737279188407137,0.6153846153846154,144.45833333333334,711.6666666666666,865.0,708,861,716,869
192,49,25.556349186104043,0.5740055693646325,0.9074074074074074,180.10204081632654,713.0204081632653,113.93877551020408,709,111,718,119
193,61,30.14213562373095,0.8722496953894097,0.9104477611940298,170.29508196721312,719.2295081967213,24.0327868852459,716,18,723,31
194,32,27.313708498984763,0.9898312278389246,0.7111111111111111,163.15625,724.46875,371.25,718,367,732,376
195,28,21.485281374238568,0.954113867441616,0.8235294117647058,149.85714285714286,724.8571428571429,269.5,722,265,729,274
196,144,92.53300858899107,0.9956381676821922,0.6697674418604651,177.84722222222223,740.1458333333334,367.375,722,357,764,378
197,236,166.88225099390854,0.9993942979438446,0.5592417061611374,175.0,776.0847457627119,393.70762711864404,735,377,819,412
198,70,40.87005768508881,0.561079113096505,0.7070707070707071,149.38571428571427,748.8428571428572,173.1,741,168,754,180
199,37,21.899494936611667,0.8535403807992984,0.9487179487179487,171.16216216216216,747.4864864864865,107.97297297297297,743,106,753,111
200,95,60.18376618407356,0.9931621407404232,0.7037037037037037,164.23157894736843,758.2947368421053,281.06315789473683,744,272,771,292
201,134,67.84062043356595,0.9587027667690524,0.6633663366336634,164.11940298507463,760.2910447761194,196.43283582089552,748,189,772,207
202,98,47.11269837220809,0.914226377588288,0.7903225806451613,168.68367346938774,760.2448979591836,181.96938775510205,755,174,767,191
203,143,102.04772721475248,0.996432403269226,0.5143884892086331,155.17482517482517,792.7342657342657,379.3636363636364,769,370,816,389
204,20,17.621320343559642,0.9754179573314918,0.7692307692307693,170.3,774.75,383.85,771,382,780,387
205,128,77.49747468305833,0.9584653003038165,0.4555160142348754,151.4140625,790.7109375,307.2578125,779,295,801,320
206,76,35.45584412271571,0.5900434388283852,0.8539325842696629,160.4078947368421,786.1842105263158,178.96052631578948,780,174,792,186
207,107,71.04772721475248,0.989822931897053,0.6149425287356322,144.98130841121494,822.3551401869158,241.11214953271028,809,230,834,254
208,26,21.86396103067893,0.9873917439163354,0.7222222222222222,158.1153846153846,825.8846153846154,294.03846153846155,821,291,834,298
209,24,19.692388155425117,0.9518523165442467,0.6857142857142857,159.25,832.75,105.54166666666667,828,103,838,109
210,47,30.31370849898476,0.968247964021082,0.8392857142857143,176.68085106382978,834.9787234042553,416.74468085106383,829,414,843,421
211,64,51.7634559672906,0.9933346051137367,0.7272727272727273,165.578125,879.671875,326.875,867,322,892,332
212,45,30.00609665440988,0.9608221236568288,0.7627118644067796,166.9111111111111,885.8,250.75555555555556,880,247,894,256
213,34,23.556349186104043,0.9378237276771997,0.85,163.8235294117647,901.6764705882352,132.6764705882353,897,130,907,137
214,25,20.621320343559642,0.9838109052784071,0.78125,163.36,906.32,335.72,900,334,913,338
215,26,25.48528137423857,0.9916750389788946,0.6046511627906976,151.73076923076923,908.0769230769231,289.46153846153845,901,287,916,294
216,27,27.485281374238568,0.992632963502164,0.675,147.96296296296296,908.4814814814815,295.962962962963,902,293,917,300
217,27,19.899494936611664,0.9540857765390424,0.8709677419354839,171.07407407407408,981.925925925926,189.40740740740742,978,187,987,193
218,254,137.4386001800126,0.8828114226027612,0.49706457925636005,153.78740157480314,1007.6496062992126,62.311023622047244,987,51,1026,71
219,20,17.65685424949238,0.9682951689817131,0.7692307692307693,159.75,1019.2,166.85,1015,165,1024,170
220,20,17.414213562373096,0.9668399387872798,0.6896551724137931,157.45,1152.75,84.55,1148,83,1158,87
